2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Crucibulum_striatum###249982750.jpg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Conus_archon###GOOGLE004.jpeg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Pylopaguropsis_fimbriata###265331326.jpg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Stenopus_scutellatus###418371118.jpg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Eurypanopeus_depressus###120448390.jpg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Rhizoprionodon_acutus###346198036.jpg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Pagurus_trigonocheirus###GOOGLE001.jpeg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Spirostomum_teres###279401413.png
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Torpedo_sinuspersici###441310265.jpeg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Parapercis_multiplicata###28683459.jpg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Upogebia_affinis###312662917.jpg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Trisopterus_esmarkii###149221559.jpeg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Emarginula_sicula###179811997.jpg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Bathyraja_griseocauda###165014810.jpeg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Ctenogobius_saepepallens###218334457.jpeg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Sphoeroides_lobatus###383205562.jpeg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Scarus_forsteni###107498497.jpeg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Leucocarbo_bougainvillii###443588222.jpeg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Euprymna_tasmanica###433297921.jpeg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Penaeus_monodon###282043539.jpg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Ecsenius_bicolor###380388210.jpeg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Hemiramphus_lutkei###349008725.jpg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Olivella_minuta###372832522.jpg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Pomacentrus_alleni###351952327.jpeg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Limosa_haemastica###447516807.jpeg
2025-03-13 23:07:53 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Cynoscion_nebulosus###444565345.jpeg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Cirripectes_hutchinsi###30773643.jpg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Helcogramma_decurrens###382833201.jpeg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Abudefduf_natalensis###444450714.jpg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Glareola_pratincola###443202111.jpg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Tropisternus_salsamentus###196678195.jpeg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Chrysaora_quinquecirrha###11483864.jpg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Tachyeres_brachypterus###248654451.jpeg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Hypoplectrus_gemma###352631015.jpg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Rypticus_bistrispinus###110864655.jpg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Neptunea_lyrata_lyrata###301856083.jpeg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Nectria_saoria###29135601.jpg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Galathea_strigosa###439837004.jpeg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Alphestes_immaculatus###417938338.jpeg
2025-03-13 23:07:54 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Cassis_flammea###338588528.jpeg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Ensis_minor###446567565.jpg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Enneapterygius_similis###326828230.jpg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Trichocorixa_louisianae###GOOGLE007.jpeg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Platycephalus_speculator###397584082.jpeg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Spheniscus_mendiculus###446446520.jpeg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Canthigaster_figueiredoi###343932378.jpeg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Lysmata_boggessi###41920038.jpeg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Amblyeleotris_latifasciata###410945626.jpeg
2025-03-13 23:07:55 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Siphonaria_pectinata###445687970.jpeg
